"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,230666,308481.195341763,308483.195341763
"2","+ Avg_NDAI",-1,143762.0174024,230665,164719.177939363,164723.177939363
"3","+ DF",-1,3594.36041030378,230664,161124.817529059,161130.817529059
"4","+ NDAI",-1,475.452467070107,230663,160649.365061989,160657.365061989
"5","+ SD",-1,338.327586111671,230662,160311.037475878,160321.037475878
"6","+ BF",-1,375.370536147762,230661,159935.66693973,159947.66693973
"7","+ AN",-1,81.586834880145,230660,159854.08010485,159868.08010485
"8","+ AF",-1,268.972242799762,230659,159585.10786205,159601.10786205
"9","+ CORR",-1,60.4002065462701,230658,159524.707655504,159542.707655504
"10","+ CF",-1,32.464099414181,230657,159492.24355609,159512.24355609
